,section,question_number,answer_number,speaker_name,role,company,content,year,quarter,is_pleasantry,source_pdf,role_normalised
146,qa,12.0,,Gerard Cassidy,analyst,RBC Capital Markets LLC,"Very good. Thank you. And then as a follow-up, you both just talked about the potential changes to the different regulatory outcomes for you and your peers, whether it's SLR or the G-SIB buffer, et cetera. Can you opine for us your views? Are you more confident with the new administration, the new personnel, whether it's Treasury Secretary Bessent or others, the nominees for different regulatory heads that there will be a better chance of real regulatory reform, they see it the way you guys do versus the prior administration?",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
147,qa,12.0,1.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Yeah, I mean, Gerard, we always say this, and it's true, which is that we work with all administrations and every administration as constructively as possible to express our opinions and advocate for the things that we think are right for the banking system and for the economy as a whole, and that was true before, and it's true now with this administration as well. Clearly, the administration has been quite vocal about wanting more pro-growth policies at the margin and for wanting to make it easier for banks to participate more constructively in the economy. And as we see the various folks and the various agencies go through the confirmation process, it will be helpful to have people in seats and get to work on some of the things that we want to get done. So let's see how that plays out, but we're looking forward to continuing to engage constructively.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
148,qa,12.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yeah. I think there's a deep recognition of the flaws in the system, and there should be, and fortunately, they're going to take a good look at it.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
149,qa,12.0,2.0,Gerard Cassidy,analyst,RBC Capital Markets LLC,Very good. Thank you.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
150,qa,12.0,3.0,Jeremy Barnum,Chief Financial Officer,JPMorganChase,"Thanks, Gerard. Operator: Thank you. Our next question comes from Ebrahim Poonawala with Bank of America. You may proceed.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
151,qa,13.0,,Ebrahim Poonawala,analyst,Bank of America Merrill Lynch,"Thank you. Good morning. I guess just wanted to follow up on the macro uncertainty. I think when you talk to investors, we've gone from enthusiasm for a pro-business administration to a lot of headwinds. And I think Jamie mentioned you'll have companies take down guidance, et cetera, potentially over the coming weeks. I'm just wondering what is it you think we need to see before this uncertainty abates, or the 90-day pause that we saw with some of the other countries on tariffs. Is that enough? Or I'm just wondering when you talk to clients, corporate CEOs, what are they looking for from the administration that would inject confidence to get back anywhere close to where we were maybe 60 or 90 days ago?",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
152,qa,13.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"First of all, some of all the issues that are raised existed before the new administration, like the geopolitical situation, the excess fiscal deficits, poorly done regulations and all that. Obviously, pro-growth is good, pro-business is good, pro-dereg is good. I think the best thing to do is to allow the Secretary of Treasury and the folks working with him and the administration to finish as quick as possible the agreements that they need to make with – around tariffs and with our trading partners. And I think there'll be agreements in principle. They're not going to be – trade agreements themselves would be 5,000 or 10,000 pages long. And that's the best way to go about it right now. That does not mean you won't have some of the effects take place anyway.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
153,qa,14.0,,Ebrahim Poonawala,analyst,Bank of America Merrill Lynch,"Got it. I guess as a follow up, I think there's a lot of concern also in the treasury markets. We've seen the 10-year move from 3.99% to 4.50% in a matter of a week. Just your comfort level on terms of the functioning of the treasury market. Do you see the Fed stepping in, pausing QT, maybe even initiating some treasury purchases? Just any color would be great.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
154,qa,14.0,1.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"Yeah. But again, I mean, we have sticky inflation. We had that before. I personally have told you all, I don't think that's going to go away, and that relates to that. Obviously, the U.S. dollar still is the reserve currency, and that isn't going to change, though some people may feel slightly differently about it. And the Fed – we've been inconsistent. There will be a kerfuffle of the treasury markets because of all the rules and regulations. I've told you that consistently. It happened in COVID, it happened before, it happened. That will happen. And then when that happens, the Fed will step in. That's what happens. And they're not going to do it now because you don't have all those issues yet. They'll do it when they start to panic a little bit, and we don't know if and when that's going to happen, and we'll see. But the notion that the 10-year Treasury has to go down is a false notion. If we look at history in prior times, when we have huge global deficits. Back in the '70s, in the '60s, the guns and butter. And tariffs, at least our economists think will be inflationary to 0.5% or something like that. So we'll have to wait and see and deal with it.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
156,qa,14.0,2.0,Jamie Dimon,Chairman & Chief Executive Officer,JPMorganChase,"For most – mostly haven't dealt with this stuff before, and you're going to see a lot of stuff taking place shortly in the next couple of months, and then we'll know.",2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,banker
157,qa,14.0,2.0,Ebrahim Poonawala,analyst,Bank of America Merrill Lynch,Got it. Thank you so much. Operator: Thank you. Our next question comes from Jim Mitchell with Seaport Global Securities. You may proceed.,2025,Q1,False,data/raw/jpm/.ipynb_checkpoints/jpm-1q25-earnings-call-transcript-checkpoint.pdf,analyst
